tweet_id,timestamp,source,text,expanded_urls,rating_numerator,rating_denominator,name,stage,retweet_count,favorite_count,jpg_url,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog
892420643555336193,2017-08-01 16:23:56,"""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone",This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,https://twitter.com/dog_rates/status/892420643555336193/photo/1,11.0,10.0,Phineas,None,7003.0,33809.0,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,1.0,orange,0.0970486,False,bagel,0.0858511,False,banana,0.07611,False
892177421306343426,2017-08-01 00:17:27,"""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone","This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",https://twitter.com/dog_rates/status/892177421306343426/photo/1,11.0,10.0,Tilly,None,5301.0,29324.0,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1.0,chihuahua,0.323581,True,pekinese,0.0906465,True,papillon,0.0689569,True
891815181378084864,2017-07-31 00:18:03,"""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone",This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,https://twitter.com/dog_rates/status/891815181378084864/photo/1,11.0,10.0,Archie,None,3478.0,22043.0,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1.0,chihuahua,0.716012,True,malamute,0.078253,True,kelpie,0.0313789,True
891689557279858688,2017-07-30 15:58:51,"""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone",This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,https://twitter.com/dog_rates/status/891689557279858688/photo/1,11.0,10.0,Darla,None,7224.0,36926.0,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1.0,paper_towel,0.1702779999999999,False,labrador_retriever,0.1680859999999999,True,spatula,0.0408359,False
891327558926688256,2017-07-29 16:00:24,"""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone","This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",https://twitter.com/dog_rates/status/668623201287675904/photo/1,11.0,10.0,Franklin,None,7757.0,35309.0,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2.0,basset,0.555712,True,english_springer,0.2257699999999999,True,german_short-haired_pointer,0.175219,True
890971913173991426,2017-07-28 16:27:12,"""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone","Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",https://twitter.com/dog_rates/status/668623201287675904/photo/1,11.0,10.0,Jax,None,1661.0,10361.0,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1.0,appenzeller,0.341703,True,border_collie,0.199287,True,ice_lolly,0.193548,False
890609185150312448,2017-07-27 16:25:51,"""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone",This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,https://twitter.com/dog_rates/status/890609185150312448/photo/1,11.0,10.0,Zoey,None,3619.0,24518.0,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1.0,irish_terrier,0.4875739999999999,True,irish_setter,0.193054,True,chesapeake_bay_retriever,0.118184,True
890240255349198849,2017-07-26 15:59:51,"""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone",This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,https://twitter.com/dog_rates/status/890240255349198849/photo/1,11.0,10.0,Cassie,doggo,6098.0,27957.0,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1.0,pembroke,0.511319,True,cardigan,0.451038,True,chihuahua,0.0292482,True
890006608113172480,2017-07-26 00:31:25,"""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone",This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,https://twitter.com/dog_rates/status/668623201287675904/photo/1,11.0,10.0,Koda,None,6151.0,27033.0,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1.0,samoyed,0.957979,True,pomeranian,0.0138835,True,chow,0.00816748,True
889880896479866881,2017-07-25 16:11:53,"""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone",This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,https://twitter.com/dog_rates/status/889880896479866881/photo/1,11.0,10.0,Bruno,None,4165.0,24562.0,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,1.0,french_bulldog,0.377417,True,labrador_retriever,0.151317,True,muzzle,0.0829811,False
889638837579907072,2017-07-25 00:10:02,"""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone",This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,https://twitter.com/dog_rates/status/668623201287675904/photo/1,11.0,10.0,Ted,None,3714.0,23673.0,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,1.0,french_bulldog,0.99165,True,boxer,0.00212864,True,staffordshire_bullterrier,0.00149818,True
889531135344209921,2017-07-24 17:02:04,"""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone",This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,https://twitter.com/dog_rates/status/889531135344209921/photo/1,11.0,10.0,Stuart,puppo,1881.0,13352.0,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,1.0,golden_retriever,0.953442,True,labrador_retriever,0.0138341,True,redbone,0.00795775,True
